t,S,I,R,C,beta,scen
123,0.664964,0.0134301,0.321606,0.334936,0.231049,3
124,0.662864,0.0139485,0.323187,0.337036,0.231049,3
125,0.660691,0.0144798,0.324829,0.339209,0.231049,3
126,0.658443,0.0150236,0.326533,0.341457,0.231049,3
127,0.656119,0.0155796,0.328301,0.343781,0.231049,3
128,0.653719,0.0161474,0.330133,0.346181,0.231049,3
129,0.651241,0.0167265,0.332032,0.348659,0.231049,3
130,0.648685,0.0173162,0.333998,0.351215,0.231049,3
131,0.646051,0.017916,0.336033,0.353849,0.231049,3
132,0.643337,0.0185251,0.338138,0.356563,0.231049,3
133,0.640543,0.0191427,0.340314,0.359357,0.231049,3
134,0.637671,0.019768,0.342561,0.362229,0.231049,3
135,0.634718,0.0204,0.344882,0.365182,0.231049,3
136,0.631687,0.0210376,0.347275,0.368213,0.231049,3
137,0.628578,0.0216798,0.349743,0.371322,0.231049,3
138,0.62539,0.0223253,0.352284,0.37451,0.231049,3
139,0.622126,0.0229729,0.354901,0.377774,0.231049,3
140,0.618786,0.0236213,0.357592,0.381114,0.231049,3
141,0.615372,0.0242691,0.360358,0.384528,0.231049,3
142,0.611886,0.0249147,0.363199,0.388014,0.231049,3
143,0.608328,0.0255567,0.366115,0.391572,0.231049,3
144,0.604702,0.0261935,0.369104,0.395198,0.231049,3
145,0.60101,0.0268234,0.372167,0.39889,0.231049,3
146,0.597254,0.0274449,0.375301,0.402646,0.231049,3
147,0.593436,0.0280563,0.378507,0.406464,0.231049,3
148,0.589561,0.0286558,0.381783,0.410339,0.231049,3
149,0.585631,0.0292417,0.385128,0.414269,0.231049,3
150,0.581649,0.0298123,0.388539,0.418251,0.231049,3
151,0.577619,0.0303659,0.392015,0.422281,0.231049,3
152,0.573545,0.0309009,0.395554,0.426355,0.231049,3
153,0.569431,0.0314155,0.399154,0.430469,0.231049,3
154,0.56528,0.0319083,0.402812,0.43462,0.231049,3
155,0.561097,0.0323776,0.406525,0.438803,0.231049,3
156,0.556886,0.0328219,0.410292,0.443014,0.231049,3
157,0.552652,0.0332399,0.414108,0.447248,0.231049,3
158,0.548399,0.0336302,0.417971,0.451501,0.231049,3
159,0.544131,0.0339916,0.421877,0.455769,0.231049,3
160,0.539854,0.0343231,0.425823,0.460046,0.231049,3
161,0.53557,0.0346234,0.429806,0.46433,0.231049,3
162,0.531286,0.0348919,0.433822,0.468614,0.231049,3
163,0.527006,0.0351276,0.437867,0.472894,0.231049,3
164,0.522733,0.0353301,0.441937,0.477167,0.231049,3
165,0.518473,0.0354986,0.446028,0.481427,0.231049,3
166,0.51423,0.035633,0.450137,0.48567,0.231049,3
167,0.510007,0.0357329,0.45426,0.489893,0.231049,3
168,0.50581,0.0357982,0.458392,0.49409,0.231049,3
169,0.501641,0.035829,0.46253,0.498259,0.231049,3
170,0.497506,0.0358255,0.466669,0.502394,0.231049,3
171,0.493406,0.0357878,0.470806,0.506494,0.231049,3
172,0.489347,0.0357166,0.474936,0.510553,0.231049,3
173,0.485331,0.0356122,0.479057,0.514569,0.231049,3
174,0.481361,0.0354754,0.483163,0.518539,0.231049,3
175,0.477441,0.0353069,0.487252,0.522459,0.231049,3
176,0.473573,0.0351077,0.49132,0.526327,0.231049,3
177,0.469759,0.0348785,0.495363,0.530141,0.231049,3
178,0.466002,0.0346206,0.499377,0.533898,0.231049,3
179,0.462304,0.034335,0.503361,0.537596,0.231049,3
180,0.458668,0.0340229,0.507309,0.541232,0.231049,3
