t,S,I,R,C,beta,scen
128,0.44348,0.0103051,0.546215,0.55642,0.101128,3
129,0.44304,0.00959579,0.547364,0.55686,0.0996178,3
130,0.442637,0.00892897,0.548434,0.557263,0.098107,3
131,0.442268,0.00830262,0.549429,0.557632,0.0965963,3
132,0.441931,0.00771479,0.550354,0.557969,0.0950856,3
133,0.441624,0.00716358,0.551213,0.558276,0.0935749,3
134,0.441343,0.00664713,0.55201,0.558557,0.0920642,3
135,0.441086,0.00616365,0.55275,0.558814,0.0905535,3
136,0.440853,0.00571141,0.553435,0.559047,0.0890428,3
137,0.440641,0.00528872,0.554071,0.559259,0.0875321,3
138,0.440448,0.00489396,0.554658,0.559452,0.0860214,3
139,0.440272,0.00452559,0.555202,0.559628,0.0845107,3
140,0.439819,0.00445978,0.555721,0.560081,0.231049,3
141,0.439369,0.00439797,0.556233,0.560531,0.231049,3
142,0.438926,0.00433656,0.556737,0.560974,0.231049,3
143,0.43849,0.00427558,0.557235,0.56141,0.231049,3
144,0.43806,0.00421504,0.557725,0.56184,0.231049,3
145,0.437636,0.00415494,0.558209,0.562264,0.231049,3
146,0.43722,0.00409531,0.558685,0.56268,0.231049,3
147,0.436809,0.00403614,0.559155,0.563091,0.231049,3
148,0.436405,0.00397745,0.559618,0.563495,0.231049,3
149,0.436007,0.00391926,0.560074,0.563893,0.231049,3
150,0.435615,0.00386156,0.560523,0.564285,0.231049,3
151,0.43523,0.00380437,0.560966,0.56467,0.231049,3
152,0.43485,0.0037477,0.561402,0.56505,0.231049,3
153,0.434476,0.00369154,0.561832,0.565424,0.231049,3
154,0.434109,0.00363592,0.562255,0.565791,0.231049,3
155,0.433747,0.00358084,0.562672,0.566153,0.231049,3
156,0.433391,0.0035263,0.563083,0.566509,0.231049,3
157,0.433041,0.0034723,0.563487,0.566859,0.231049,3
158,0.432696,0.00341886,0.563885,0.567204,0.231049,3
159,0.432357,0.00336597,0.564277,0.567543,0.231049,3
160,0.432024,0.00331365,0.564663,0.567876,0.231049,3
161,0.431696,0.00326189,0.565042,0.568204,0.231049,3
162,0.431373,0.00321069,0.565416,0.568527,0.231049,3
163,0.431056,0.00316007,0.565784,0.568844,0.231049,3
164,0.430743,0.00311002,0.566146,0.569157,0.231049,3
165,0.430437,0.00306054,0.566503,0.569463,0.231049,3
166,0.430135,0.00301164,0.566854,0.569765,0.231049,3
167,0.429838,0.00296331,0.567199,0.570062,0.231049,3
168,0.429546,0.00291556,0.567538,0.570354,0.231049,3
169,0.429259,0.00286839,0.567872,0.570641,0.231049,3
170,0.428977,0.0028218,0.568201,0.570923,0.231049,3
171,0.4287,0.00277578,0.568524,0.5712,0.231049,3
172,0.428427,0.00273034,0.568842,0.571473,0.231049,3
173,0.428159,0.00268548,0.569155,0.571741,0.231049,3
174,0.427896,0.00264119,0.569463,0.572004,0.231049,3
175,0.427637,0.00259747,0.569766,0.572263,0.231049,3
176,0.427383,0.00255433,0.570063,0.572517,0.231049,3
177,0.427132,0.00251176,0.570356,0.572768,0.231049,3
178,0.426887,0.00246975,0.570643,0.573013,0.231049,3
179,0.426645,0.00242832,0.570926,0.573255,0.231049,3
180,0.426408,0.00238744,0.571205,0.573492,0.231049,3
181,0.426175,0.00234713,0.571478,0.573725,0.231049,3
182,0.425946,0.00230737,0.571747,0.573954,0.231049,3
183,0.425721,0.00226817,0.572011,0.574179,0.231049,3
184,0.4255,0.00222951,0.572271,0.5744,0.231049,3
185,0.425282,0.00219141,0.572526,0.574618,0.231049,3
186,0.425069,0.00215385,0.572777,0.574831,0.231049,3
187,0.424859,0.00211683,0.573024,0.575041,0.231049,3
188,0.424653,0.00208035,0.573266,0.575247,0.231049,3
189,0.424451,0.0020444,0.573505,0.575449,0.231049,3
190,0.424252,0.00200897,0.573739,0.575648,0.231049,3
191,0.424057,0.00197408,0.573969,0.575843,0.231049,3
192,0.423865,0.0019397,0.574195,0.576035,0.231049,3
193,0.423677,0.00190583,0.574417,0.576223,0.231049,3
194,0.423492,0.00187248,0.574635,0.576408,0.231049,3
195,0.423311,0.00183963,0.57485,0.576589,0.231049,3
196,0.423132,0.00180728,0.57506,0.576768,0.231049,3
197,0.422957,0.00177543,0.575267,0.576943,0.231049,3
198,0.422785,0.00174407,0.575471,0.577115,0.231049,3
199,0.422617,0.0017132,0.57567,0.577283,0.231049,3
200,0.422451,0.00168281,0.575866,0.577449,0.231049,3
201,0.422288,0.0016529,0.576059,0.577612,0.231049,3
202,0.422128,0.00162345,0.576248,0.577772,0.231049,3
203,0.421971,0.00159448,0.576434,0.577929,0.231049,3
204,0.421817,0.00156596,0.576617,0.578083,0.231049,3
205,0.421666,0.0015379,0.576796,0.578234,0.231049,3
206,0.421518,0.00151029,0.576972,0.578382,0.231049,3
207,0.421372,0.00148312,0.577145,0.578528,0.231049,3
208,0.421229,0.0014564,0.577315,0.578671,0.231049,3
209,0.421088,0.00143011,0.577482,0.578812,0.231049,3
210,0.42095,0.00140425,0.577645,0.57895,0.231049,3
211,0.420815,0.00137881,0.577806,0.579085,0.231049,3
212,0.420682,0.00135379,0.577964,0.579218,0.231049,3
213,0.420552,0.00132919,0.578119,0.579348,0.231049,3
214,0.420424,0.00130499,0.578271,0.579476,0.231049,3
215,0.420298,0.0012812,0.57842,0.579602,0.231049,3
216,0.420175,0.00125781,0.578567,0.579725,0.231049,3
217,0.420054,0.0012348,0.578711,0.579846,0.231049,3
218,0.419935,0.00121219,0.578852,0.579965,0.231049,3
219,0.419819,0.00118995,0.578991,0.580081,0.231049,3
220,0.419705,0.0011681,0.579127,0.580195,0.231049,3
221,0.419592,0.00114661,0.579261,0.580308,0.231049,3
222,0.419482,0.00112549,0.579392,0.580418,0.231049,3
223,0.419374,0.00110473,0.579521,0.580526,0.231049,3
224,0.419268,0.00108433,0.579647,0.580632,0.231049,3
225,0.419164,0.00106428,0.579772,0.580736,0.231049,3
226,0.419062,0.00104457,0.579893,0.580838,0.231049,3
227,0.418962,0.00102521,0.580013,0.580938,0.231049,3
228,0.418864,0.00100618,0.58013,0.581036,0.231049,3
229,0.418767,0.000987482,0.580245,0.581133,0.231049,3
230,0.418672,0.000969111,0.580358,0.581228,0.231049,3
231,0.41858,0.00095106,0.580469,0.58132,0.231049,3
232,0.418488,0.000933326,0.580578,0.581412,0.231049,3
233,0.418399,0.000915904,0.580685,0.581501,0.231049,3
234,0.418311,0.000898788,0.58079,0.581589,0.231049,3
235,0.418225,0.000881974,0.580893,0.581675,0.231049,3
236,0.418141,0.000865458,0.580994,0.581759,0.231049,3
237,0.418058,0.000849235,0.581093,0.581842,0.231049,3
238,0.417977,0.0008333,0.58119,0.581923,0.231049,3
239,0.417897,0.000817649,0.581285,0.582003,0.231049,3
240,0.417819,0.000802278,0.581379,0.582081,0.231049,3
241,0.417742,0.000787181,0.581471,0.582158,0.231049,3
242,0.417667,0.000772355,0.581561,0.582233,0.231049,3
243,0.417593,0.000757795,0.581649,0.582307,0.231049,3
244,0.417521,0.000743496,0.581736,0.582379,0.231049,3
245,0.41745,0.000729456,0.581821,0.58245,0.231049,3
246,0.41738,0.000715669,0.581904,0.58252,0.231049,3
247,0.417312,0.000702131,0.581986,0.582588,0.231049,3
248,0.417245,0.000688839,0.582067,0.582655,0.231049,3
249,0.417179,0.000675788,0.582145,0.582721,0.231049,3
250,0.417114,0.000662974,0.582223,0.582786,0.231049,3
251,0.417051,0.000650394,0.582299,0.582849,0.231049,3
252,0.416989,0.000638043,0.582373,0.582911,0.231049,3
253,0.416928,0.000625918,0.582446,0.582972,0.231049,3
254,0.416868,0.000614014,0.582518,0.583032,0.231049,3
255,0.41681,0.000602329,0.582588,0.58309,0.231049,3
256,0.416752,0.000590858,0.582657,0.583148,0.231049,3
257,0.416696,0.000579599,0.582724,0.583204,0.231049,3
258,0.416641,0.000568546,0.582791,0.583259,0.231049,3
259,0.416587,0.000557697,0.582856,0.583313,0.231049,3
260,0.416533,0.000547048,0.58292,0.583367,0.231049,3
261,0.416481,0.000536596,0.582982,0.583419,0.231049,3
