t,S,I,R,C,beta,scen
125,0.54885,0.00693728,0.444213,0.45105,0.05775,41
126,0.548639,0.0063794,0.444981,0.451261,0.05775,41
127,0.547831,0.00644725,0.445722,0.452069,0.231049,41
128,0.547011,0.00651828,0.446471,0.452889,0.231049,41
129,0.546183,0.00658884,0.447228,0.453717,0.231049,41
130,0.545348,0.00665888,0.447993,0.454552,0.231049,41
131,0.544505,0.00672836,0.448767,0.455395,0.231049,41
132,0.543655,0.00679724,0.449548,0.456245,0.231049,41
133,0.542798,0.00686547,0.450337,0.457102,0.231049,41
134,0.541933,0.006933,0.451134,0.457967,0.231049,41
135,0.541061,0.00699979,0.451939,0.458839,0.231049,41
136,0.540183,0.0070658,0.452751,0.459717,0.231049,41
137,0.539298,0.00713098,0.453571,0.460602,0.231049,41
138,0.538406,0.00719528,0.454399,0.461494,0.231049,41
139,0.537508,0.00725866,0.455234,0.462392,0.231049,41
140,0.536603,0.00732107,0.456076,0.463297,0.231049,41
141,0.535692,0.00738247,0.456925,0.464208,0.231049,41
142,0.534776,0.00744282,0.457782,0.465124,0.231049,41
143,0.533853,0.00750206,0.458645,0.466047,0.231049,41
144,0.532925,0.00756016,0.459515,0.466975,0.231049,41
145,0.531991,0.00761707,0.460392,0.467909,0.231049,41
146,0.531052,0.00767275,0.461275,0.468848,0.231049,41
147,0.530108,0.00772716,0.462164,0.469792,0.231049,41
148,0.52916,0.00778025,0.46306,0.47074,0.231049,41
149,0.528206,0.00783198,0.463962,0.471694,0.231049,41
150,0.527248,0.00788232,0.46487,0.472652,0.231049,41
151,0.526286,0.00793122,0.465783,0.473614,0.231049,41
152,0.525319,0.00797864,0.466702,0.474581,0.231049,41
153,0.524349,0.00802455,0.467626,0.475551,0.231049,41
154,0.523375,0.00806892,0.468556,0.476525,0.231049,41
155,0.522398,0.0081117,0.469491,0.477502,0.231049,41
156,0.521417,0.00815286,0.47043,0.478483,0.231049,41
157,0.520433,0.00819237,0.471374,0.479467,0.231049,41
158,0.519447,0.0082302,0.472323,0.480453,0.231049,41
159,0.518458,0.00826632,0.473276,0.481442,0.231049,41
160,0.517466,0.0083007,0.474233,0.482434,0.231049,41
161,0.516473,0.00833331,0.475194,0.483427,0.231049,41
162,0.515478,0.00836413,0.476158,0.484422,0.231049,41
163,0.514481,0.00839313,0.477126,0.485419,0.231049,41
164,0.513482,0.00842028,0.478097,0.486418,0.231049,41
165,0.512483,0.00844558,0.479072,0.487417,0.231049,41
166,0.511482,0.00846899,0.480049,0.488418,0.231049,41
167,0.510481,0.00849051,0.481028,0.489419,0.231049,41
168,0.50948,0.00851011,0.48201,0.49042,0.231049,41
169,0.508478,0.00852778,0.482994,0.491422,0.231049,41
170,0.507476,0.00854352,0.483981,0.492424,0.231049,41
171,0.506474,0.0085573,0.484968,0.493426,0.231049,41
172,0.505473,0.00856911,0.485958,0.494427,0.231049,41
173,0.504473,0.00857897,0.486948,0.495427,0.231049,41
174,0.503473,0.00858684,0.48794,0.496427,0.231049,41
175,0.502475,0.00859275,0.488932,0.497425,0.231049,41
176,0.501478,0.00859667,0.489925,0.498422,0.231049,41
177,0.500483,0.00859862,0.490918,0.499417,0.231049,41
178,0.49949,0.00859859,0.491912,0.50041,0.231049,41
179,0.498499,0.0085966,0.492905,0.501401,0.231049,41
180,0.49751,0.00859263,0.493898,0.50239,0.231049,41
181,0.496523,0.00858671,0.49489,0.503377,0.231049,41
182,0.49554,0.00857884,0.495882,0.50436,0.231049,41
183,0.494559,0.00856903,0.496872,0.505341,0.231049,41
184,0.493581,0.0085573,0.497861,0.506319,0.231049,41
185,0.492607,0.00854365,0.498849,0.507293,0.231049,41
186,0.491637,0.00852812,0.499835,0.508263,0.231049,41
187,0.49067,0.0085107,0.50082,0.50923,0.231049,41
188,0.489707,0.00849143,0.501802,0.510193,0.231049,41
189,0.488748,0.00847032,0.502781,0.511152,0.231049,41
190,0.487794,0.0084474,0.503759,0.512106,0.231049,41
191,0.486844,0.00842268,0.504733,0.513056,0.231049,41
192,0.485899,0.0083962,0.505705,0.514001,0.231049,41
193,0.484959,0.00836798,0.506673,0.514941,0.231049,41
194,0.484024,0.00833805,0.507638,0.515876,0.231049,41
195,0.483094,0.00830644,0.508599,0.516806,0.231049,41
196,0.48217,0.00827317,0.509557,0.51773,0.231049,41
197,0.481251,0.00823828,0.510511,0.518649,0.231049,41
198,0.480338,0.0082018,0.511461,0.519562,0.231049,41
199,0.47943,0.00816377,0.512406,0.52047,0.231049,41
200,0.478529,0.00812422,0.513347,0.521371,0.231049,41
201,0.477634,0.00808318,0.514283,0.522266,0.231049,41
202,0.476745,0.00804069,0.515214,0.523155,0.231049,41
203,0.475863,0.00799678,0.516141,0.524037,0.231049,41
204,0.474987,0.00795151,0.517062,0.524913,0.231049,41
205,0.474117,0.00790489,0.517978,0.525783,0.231049,41
206,0.473255,0.00785697,0.518888,0.526645,0.231049,41
207,0.472399,0.0078078,0.519793,0.527501,0.231049,41
208,0.47155,0.0077574,0.520692,0.52835,0.231049,41
209,0.470709,0.00770583,0.521585,0.529191,0.231049,41
210,0.469874,0.00765312,0.522473,0.530026,0.231049,41
211,0.469047,0.0075993,0.523354,0.530853,0.231049,41
212,0.468227,0.00754443,0.524228,0.531673,0.231049,41
213,0.467415,0.00748855,0.525097,0.532485,0.231049,41
214,0.46661,0.00743169,0.525958,0.53329,0.231049,41
215,0.465812,0.0073739,0.526814,0.534088,0.231049,41
216,0.465023,0.00731521,0.527662,0.534877,0.231049,41
217,0.464241,0.00725567,0.528504,0.535659,0.231049,41
218,0.463466,0.00719533,0.529339,0.536434,0.231049,41
219,0.4627,0.00713421,0.530166,0.5372,0.231049,41
220,0.461941,0.00707237,0.530987,0.537959,0.231049,41
221,0.46119,0.00700985,0.5318,0.53871,0.231049,41
222,0.460447,0.00694667,0.532606,0.539453,0.231049,41
223,0.459712,0.00688289,0.533405,0.540188,0.231049,41
224,0.458985,0.00681854,0.534197,0.540915,0.231049,41
225,0.458266,0.00675367,0.534981,0.541634,0.231049,41
226,0.457555,0.00668831,0.535757,0.542345,0.231049,41
227,0.456851,0.0066225,0.536526,0.543049,0.231049,41
228,0.456156,0.00655628,0.537287,0.543744,0.231049,41
229,0.455469,0.00648968,0.538041,0.544431,0.231049,41
230,0.454791,0.00642275,0.538787,0.545109,0.231049,41
231,0.45412,0.00635552,0.539525,0.54578,0.231049,41
232,0.453457,0.00628802,0.540255,0.546443,0.231049,41
233,0.452802,0.00622029,0.540978,0.547098,0.231049,41
234,0.452155,0.00615236,0.541692,0.547745,0.231049,41
235,0.451517,0.00608428,0.542399,0.548383,0.231049,41
236,0.450886,0.00601606,0.543098,0.549014,0.231049,41
237,0.450263,0.00594775,0.543789,0.549637,0.231049,41
238,0.449648,0.00587937,0.544472,0.550252,0.231049,41
239,0.449042,0.00581096,0.545148,0.550858,0.231049,41
240,0.448443,0.00574255,0.545815,0.551457,0.231049,41
241,0.447852,0.00567416,0.546474,0.552048,0.231049,41
242,0.447268,0.00560582,0.547126,0.552632,0.231049,41
243,0.446693,0.00553757,0.54777,0.553207,0.231049,41
244,0.446125,0.00546942,0.548405,0.553775,0.231049,41
245,0.445565,0.00540141,0.549033,0.554335,0.231049,41
246,0.445013,0.00533356,0.549653,0.554887,0.231049,41
247,0.444469,0.0052659,0.550266,0.555431,0.231049,41
248,0.443932,0.00519844,0.55087,0.555968,0.231049,41
249,0.443402,0.00513122,0.551467,0.556498,0.231049,41
250,0.44288,0.00506425,0.552056,0.55702,0.231049,41
251,0.442366,0.00499756,0.552637,0.557534,0.231049,41
252,0.441859,0.00493116,0.55321,0.558041,0.231049,41
253,0.441359,0.00486508,0.553776,0.558541,0.231049,41
254,0.440866,0.00479933,0.554334,0.559034,0.231049,41
255,0.440381,0.00473394,0.554885,0.559519,0.231049,41
256,0.439903,0.00466892,0.555428,0.559997,0.231049,41
257,0.439432,0.00460428,0.555964,0.560468,0.231049,41
258,0.438968,0.00454006,0.556492,0.560932,0.231049,41
259,0.438511,0.00447625,0.557013,0.561389,0.231049,41
260,0.438061,0.00441287,0.557526,0.561839,0.231049,41
261,0.437618,0.00434995,0.558032,0.562282,0.231049,41
262,0.437181,0.00428748,0.558531,0.562719,0.231049,41
263,0.436751,0.00422549,0.559023,0.563149,0.231049,41
264,0.436328,0.00416399,0.559508,0.563572,0.231049,41
265,0.435912,0.00410298,0.559985,0.563988,0.231049,41
266,0.435502,0.00404248,0.560456,0.564398,0.231049,41
267,0.435098,0.0039825,0.560919,0.564802,0.231049,41
268,0.434701,0.00392305,0.561376,0.565199,0.231049,41
269,0.43431,0.00386413,0.561826,0.56559,0.231049,41
270,0.433926,0.00380575,0.562269,0.565974,0.231049,41
271,0.433547,0.00374793,0.562705,0.566353,0.231049,41
272,0.433175,0.00369066,0.563135,0.566725,0.231049,41
273,0.432808,0.00363396,0.563558,0.567092,0.231049,41
274,0.432448,0.00357783,0.563974,0.567452,0.231049,41
275,0.432093,0.00352228,0.564384,0.567807,0.231049,41
276,0.431745,0.00346731,0.564788,0.568155,0.231049,41
277,0.431402,0.00341292,0.565186,0.568498,0.231049,41
278,0.431064,0.00335912,0.565577,0.568836,0.231049,41
279,0.430732,0.00330592,0.565962,0.569168,0.231049,41
280,0.430406,0.00325331,0.566341,0.569494,0.231049,41
281,0.430085,0.00320129,0.566713,0.569815,0.231049,41
282,0.42977,0.00314988,0.56708,0.57013,0.231049,41
283,0.42946,0.00309907,0.567441,0.57044,0.231049,41
284,0.429155,0.00304886,0.567796,0.570745,0.231049,41
285,0.428855,0.00299926,0.568146,0.571045,0.231049,41
286,0.42856,0.00295026,0.568489,0.57134,0.231049,41
287,0.428271,0.00290186,0.568827,0.571629,0.231049,41
288,0.427986,0.00285407,0.56916,0.571914,0.231049,41
289,0.427706,0.00280689,0.569487,0.572194,0.231049,41
290,0.427431,0.0027603,0.569808,0.572469,0.231049,41
291,0.427161,0.00271432,0.570125,0.572739,0.231049,41
292,0.426896,0.00266894,0.570435,0.573004,0.231049,41
293,0.426635,0.00262416,0.570741,0.573265,0.231049,41
294,0.426378,0.00257998,0.571042,0.573522,0.231049,41
295,0.426126,0.00253639,0.571337,0.573774,0.231049,41
296,0.425879,0.00249339,0.571628,0.574021,0.231049,41
297,0.425636,0.00245099,0.571913,0.574264,0.231049,41
298,0.425397,0.00240917,0.572194,0.574503,0.231049,41
299,0.425162,0.00236793,0.57247,0.574738,0.231049,41
300,0.424931,0.00232728,0.572741,0.574969,0.231049,41
301,0.424705,0.0022872,0.573008,0.575195,0.231049,41
302,0.424483,0.0022477,0.57327,0.575417,0.231049,41
303,0.424264,0.00220876,0.573527,0.575636,0.231049,41
304,0.424049,0.00217039,0.57378,0.575851,0.231049,41
305,0.423839,0.00213259,0.574029,0.576061,0.231049,41
306,0.423632,0.00209534,0.574273,0.576268,0.231049,41
307,0.423429,0.00205864,0.574513,0.576471,0.231049,41
308,0.423229,0.00202249,0.574749,0.576671,0.231049,41
309,0.423033,0.00198689,0.57498,0.576867,0.231049,41
310,0.422841,0.00195183,0.575208,0.577059,0.231049,41
311,0.422652,0.0019173,0.575431,0.577248,0.231049,41
312,0.422466,0.0018833,0.575651,0.577434,0.231049,41
313,0.422284,0.00184982,0.575866,0.577616,0.231049,41
314,0.422105,0.00181686,0.576078,0.577795,0.231049,41
315,0.421929,0.00178442,0.576286,0.577971,0.231049,41
316,0.421757,0.00175249,0.57649,0.578143,0.231049,41
317,0.421588,0.00172105,0.576691,0.578312,0.231049,41
318,0.421422,0.00169012,0.576888,0.578478,0.231049,41
319,0.421259,0.00165968,0.577082,0.578641,0.231049,41
320,0.421099,0.00162973,0.577272,0.578801,0.231049,41
321,0.420942,0.00160026,0.577458,0.578958,0.231049,41
322,0.420787,0.00157127,0.577641,0.579113,0.231049,41
323,0.420636,0.00154274,0.577821,0.579264,0.231049,41
324,0.420488,0.00151469,0.577998,0.579412,0.231049,41
325,0.420342,0.00148709,0.578171,0.579558,0.231049,41
326,0.420199,0.00145995,0.578341,0.579701,0.231049,41
327,0.420058,0.00143325,0.578509,0.579842,0.231049,41
328,0.41992,0.001407,0.578673,0.57998,0.231049,41
329,0.419785,0.00138118,0.578834,0.580115,0.231049,41
330,0.419653,0.0013558,0.578992,0.580247,0.231049,41
331,0.419522,0.00133084,0.579147,0.580378,0.231049,41
332,0.419394,0.00130631,0.579299,0.580506,0.231049,41
333,0.419269,0.00128218,0.579449,0.580631,0.231049,41
334,0.419146,0.00125847,0.579595,0.580754,0.231049,41
335,0.419025,0.00123516,0.579739,0.580875,0.231049,41
336,0.418907,0.00121225,0.579881,0.580993,0.231049,41
337,0.418791,0.00118973,0.58002,0.581109,0.231049,41
338,0.418677,0.0011676,0.580156,0.581223,0.231049,41
339,0.418565,0.00114585,0.580289,0.581335,0.231049,41
340,0.418455,0.00112448,0.580421,0.581445,0.231049,41
341,0.418347,0.00110348,0.580549,0.581553,0.231049,41
342,0.418242,0.00108284,0.580676,0.581658,0.231049,41
343,0.418138,0.00106257,0.580799,0.581762,0.231049,41
344,0.418036,0.00104265,0.580921,0.581864,0.231049,41
345,0.417937,0.00102308,0.58104,0.581963,0.231049,41
346,0.417839,0.00100385,0.581157,0.582061,0.231049,41
347,0.417743,0.000984961,0.581272,0.582157,0.231049,41
348,0.417649,0.000966408,0.581385,0.582251,0.231049,41
349,0.417556,0.000948184,0.581496,0.582344,0.231049,41
350,0.417466,0.000930283,0.581604,0.582434,0.231049,41
351,0.417377,0.000912702,0.581711,0.582523,0.231049,41
352,0.41729,0.000895435,0.581815,0.58261,0.231049,41
353,0.417204,0.000878476,0.581917,0.582696,0.231049,41
354,0.41712,0.000861823,0.582018,0.58278,0.231049,41
355,0.417038,0.000845468,0.582117,0.582862,0.231049,41
356,0.416957,0.000829409,0.582213,0.582943,0.231049,41
357,0.416878,0.000813639,0.582308,0.583022,0.231049,41
358,0.416801,0.000798155,0.582401,0.583099,0.231049,41
359,0.416724,0.000782951,0.582493,0.583176,0.231049,41
360,0.41665,0.000768024,0.582582,0.58325,0.231049,41
361,0.416577,0.000753369,0.58267,0.583323,0.231049,41
362,0.416505,0.00073898,0.582756,0.583395,0.231049,41
363,0.416434,0.000724855,0.582841,0.583466,0.231049,41
364,0.416365,0.000710988,0.582924,0.583535,0.231049,41
365,0.416297,0.000697376,0.583005,0.583603,0.231049,41
366,0.416231,0.000684013,0.583085,0.583669,0.231049,41
367,0.416166,0.000670897,0.583163,0.583734,0.231049,41
